id,source,sender,subject,body,timestamp,category,priority_label,action_required,action_text,label_source,confidence,decision_path
sms_29,sms,JA-REGINF,(none),"సైబర్ సురక్షితంగా ఉండండి! బోట్నెట్ ఇన్ఫెక్షన్లు మరియు మాల్వేర్ల నుండి మీ పరికరాన్ని సురక్షితంగా ఉంచడానికి, CERT-In GoI https://www.csk.gov.in లో ""ఉచిత బాట్ రిమూవల్ టూల్""ని డౌన్‌లోడ్ చేసుకోవాలని సలహా ఇస్తున్నాము",2024-11-28T18:52:42+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_30,sms,AX-AxisBk,(none),"INR 1700.00 debited A/c no. XX4634 28-11-24, 20:44:32 UPI/P2A/191750888479/Rathod Adithya Sing Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T20:44:33+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_31,sms,JD-AXISBK,(none),"INR 260.00 debited A/c no. XX4634 28-11-24, 21:58:31 UPI/P2M/762414775723/KALASOVA JEEVA POON Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T21:58:32+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_32,sms,JD-AXISBK,(none),"INR 30.00 debited A/c no. XX4634 28-11-24, 22:27:18 UPI/P2A/513826218630/Vasava Sanjaykumar Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T22:27:18+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_33,sms,+919618946034,(none),I'll call you back.,2024-11-28T23:04:54+00:00,notification,low,0,,llm,0.95,llm
sms_34,sms,JG-JioBal,(none),"Missed call to 1299 provides only Plan & balance details. Balance for Jio Number 6304993823:  1) Rs899_90D_2GB/D_20GB Plan:  Data: 1.99 GB out of 2.00 GB/day SMS: 100 out of 100/day Plan expiry: 11 Dec 2024, 08:43 PM 2) MRP 19 Plan:  Data: 630.36 MB out of 1.00 GB Plan expiry: 11 Dec 2024, 08:43 PM  For more details, click https://www.jio.com/dl/dashboard_home  For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  http://tiny.jio.com/databalance",2024-11-29T07:06:40+00:00,promotion,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_35,sms,CP-AXISBK,(none),"INR 55.00 debited A/c no. XX4634 29-11-24, 10:17:40 UPI/P2M/718112214158/Mr  RAKESH  SHIVRAM Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-29T10:18:06+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_36,sms,917382302113,(none),"Dear Customer, +917382302113 is now available to take calls.",2024-11-29T10:27:08+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_37,sms,VM-PTNPAN,(none),"Your one time PIN is 203833,and is valid for 10 minutes.Please do not share with anyone. (Generated at 2024-11-29 11:29:03.642)   - Protean",2024-11-29T11:29:07+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_38,sms,VM-PTNPAN,(none),"Your one time PIN is 472391,and is valid for 10 minutes.Please do not share with anyone. (Generated at 2024-11-29 11:30:48.499)   - Protean",2024-11-29T11:31:19+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_39,sms,AD-PTNPAN,(none),Request received vide Ack No. 881035392442505. Visit https://www.onlineservices.nsdl.com/paam/requestAndDownloadEPAN.html to get e-PAN on email ID - Protean,2024-11-29T11:32:47+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_disagree,0.92,rule+llm_disagree
sms_40,sms,VM-PTNPAN,(none),Request received vide Ack No. 881035392442601. Visit https://www.onlineservices.nsdl.com/paam/requestAndDownloadEPAN.html to get e-PAN on email ID - Protean,2024-11-29T11:33:02+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_41,sms,VM-PTNPAN,(none),"Your one time PIN is 141497,and is valid for 10 minutes.Please do not share with anyone. (Generated at 2024-11-29 11:45:41.221)   - Protean",2024-11-29T11:45:46+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_42,sms,VM-PTNPAN,(none),"Your one time PIN is 408619,and is valid for 10 minutes.Please do not share with anyone. (Generated at 2024-11-29 11:49:19.392)   - Protean",2024-11-29T11:49:21+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_43,sms,AD-AxisBk,(none),"INR 30.00 debited A/c no. XX4634 29-11-24, 12:07:00 UPI/P2M/524531273353/GUNJA KUNDAN SINGH Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-29T12:07:02+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_44,sms,AX-AxisBk,(none),"INR 20.00 debited A/c no. XX4634 29-11-24, 12:24:07 UPI/P2A/428573082558/VIRENDRAKUMAR KANUB Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-29T12:24:08+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_45,sms,CP-TNCRMA,(none),"Hi Vasam, Thank God It's Black Friday sale at Croma! Upto 60% off on Electronics + Upto 10% off on select bank cards http://m.tneu.in/TNCRMA/o9mZym2",2024-11-29T13:37:57+00:00,promotion,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_46,sms,JM-620046,(none),"Introducing New ISD minute packs for USA, Canada, Australia, New Zealand, UAE, Saudi Arabia and other popular countries. Packs starting at just Rs. 39. Applicable on prepaid & postpaid Jio numbers. To know more about ISD packs and to Recharge Visit: www.jio.com/r/Aas5iZPBj",2024-11-29T15:47:02+00:00,transaction,high,1,Verify transaction details and report if unauthorised.,rule+llm_disagree,0.92,rule+llm_disagree
sms_47,sms,JD-AXISBK,(none),"INR 10.00 debited A/c no. XX4634 29-11-24, 18:53:26 UPI/P2M/478188590116/BALJITSINH YANTRIPR Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-29T18:53:27+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_48,sms,VM-AXISBK,(none),"INR 25.00 debited A/c no. XX4634 29-11-24, 18:58:50 UPI/P2M/005182310954/PURNIMA SUPER MARKE Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-29T18:58:52+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_49,sms,917680942945,(none),"Dear Customer, You have a missed call from +917680942945 The last missed call was at 09:25 PM on 29-Nov-2024 Thankyou, Team Jio.",2024-11-29T21:25:41+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_50,sms,JA-JioPay,(none),"Usage Alert! 50% of daily data used as on 29-Nov-24 21:47 ! Jio Number : 6304993823  Daily Data quota as per plan : 2 GB  For data saving tips, watch this video : https://youtu.be/ZFUDydctV78",2024-11-29T22:13:55+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_51,sms,JA-JioPay,(none),"29-Nov-24 21:47 నాటికి 50% రోజువారీ డేటా కోటా ఉపయోగించబడింది. జియో నంబరు : 6304993823 ప్లాన్ ప్రకారం మొత్తం డేటా కోటా: 2 GB మై జియో యాప్ తో మీ అకౌంట్ ను మేనేజ్ చేయడానికి, మరింత తెలుసుకోవడానికి, https://www.youtube.com/watch?v=9vrk7PJWlOo క్లిక్ చేయండి. మీ ప్రస్తుత బ్యాలెన్స్, వ్యాలిడిటీ, ప్లాను వివరాలు మరియు ఉత్తేజకరమైన రీఛార్జ్ ప్లాన్ల కోసం 1991 డయల్ చేయండి",2024-11-29T22:15:42+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_52,sms,CP-AXISBK,(none),"INR 20000.00 debited A/c no. XX4634 30-11-24, 08:06:17 UPI/P2A/827916827614/SHENIGARAPU  RAVI T Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-30T08:06:19+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_53,sms,AX-AxisBk,(none),"INR 600.00 debited A/c no. XX4634 30-11-24, 09:50:42 UPI/P2A/583945405545/BATHULA ABHINAV Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-30T09:50:44+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_54,sms,57273200,(none),412 046 is your Instagram code. Don't share it. SIYRxKrru1t,2024-11-30T10:01:37+00:00,security,high,1,Use OTP; do not share.,rule+llm_disagree,0.92,rule+llm_disagree
sms_55,sms,AX-AXISBK,(none),"INR 15.00 debited A/c no. XX4634 30-11-24, 11:58:10 UPI/P2M/096521497050/MAXWELL PHARMACY Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-30T11:58:12+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_56,sms,AD-AxisBk,(none),"INR 45.00 debited A/c no. XX4634 30-11-24, 12:44:16 UPI/P2M/384499770578/Jay Ambe Provision Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-30T12:44:18+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_57,sms,JK-620016,(none),"Recharge today your Jio no 6304993823 with Rs.3599 True 5G Unlimited Yearly Plan on PhonePe app. Get upto Rs.400 Rewards by paying via UPI. Plan Benefits : 2.5 GB/day & Unlimited 5G Data, Unlimited Voice, Validity 365 Days.  T&CA. https://phon.pe/jioj",2024-11-30T17:00:37+00:00,promotion,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_58,sms,AX-MYCLIQ,(none),"Hi,  You've earned 100% cashback on your order! Shop at Tata CLiQ Fashion to make it true @ Black Friday Sale ct1.io/7IiYlDP",2024-11-30T17:02:00+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_disagree,0.92,rule+llm_disagree
sms_59,sms,CP-AXISBK,(none),"INR 100.00 debited A/c no. XX4634 30-11-24, 18:55:37 UPI/P2M/260566579386/Sharma Samraddhi Pr Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-30T18:55:40+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_60,sms,VM-AXISBK,(none),"INR 24.00 debited A/c no. XX4634 30-11-24, 19:27:32 UPI/P2M/157411422013/Jay Ambe Provision Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-30T19:27:34+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_61,sms,AD-AxisBk,(none),"INR 30.00 debited A/c no. XX4634 30-11-24, 23:34:53 UPI/P2A/525271002957/NAVUNDLA PREM CHARA Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-30T23:34:55+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_62,sms,VM-MCLBLZ,(none),"Dear User, Tick tock: prices dropped! Buy 2kg Biozyme Performance Range @ Rs. 4699 today. Shop your fuel now: http://u3.mnge.co/MCLBLZ/6M5pk38 -MuscleBlaze",2024-12-01T12:33:18+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_63,sms,JA-JioPay,(none),"Usage Alert! 50% of daily data used as on 01-Dec-24 14:53 ! Jio Number : 6304993823  Daily Data quota as per plan : 2 GB  For data saving tips, watch this video : https://youtu.be/ZFUDydctV78",2024-12-01T14:53:53+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_64,sms,JA-JioPay,(none),"01-Dec-24 14:53 నాటికి 50% రోజువారీ డేటా కోటా ఉపయోగించబడింది. జియో నంబరు : 6304993823 ప్లాన్ ప్రకారం మొత్తం డేటా కోటా: 2 GB మై జియో యాప్ తో మీ అకౌంట్ ను మేనేజ్ చేయడానికి, మరింత తెలుసుకోవడానికి, https://www.youtube.com/watch?v=9vrk7PJWlOo క్లిక్ చేయండి. మీ ప్రస్తుత బ్యాలెన్స్, వ్యాలిడిటీ, ప్లాను వివరాలు మరియు ఉత్తేజకరమైన రీఛార్జ్ ప్లాన్ల కోసం 1991 డయల్ చేయండి",2024-12-01T14:53:55+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_65,sms,CP-NEUTTN,(none),"Hi Vasam, Wedding gifting made elegant! Discover offers on Mia, Taneira, IRTH, and Skinn by Titan, in-store & online. http://m.tneu.in/NEUTTN/jkpGqyB",2024-12-01T15:59:22+00:00,promotion,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_66,sms,VA-MyGovt,(none),Participate in the Samvidhan Diwas Quiz & test your knowledge about our nation's laws. Play now & win exciting prizes. https://quiz1.mygov.in/ Team MyGov,2024-12-01T16:19:56+00:00,notification,medium,0,,llm,0.85,llm
sms_67,sms,AX-AxisBk,(none),"INR 10.00 debited A/c no. XX4634 01-12-24, 16:24:16 UPI/P2M/948339237738/Jay Ambe Provision Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-12-01T16:24:18+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_68,sms,919182800656,(none),"Dear Customer, You have a missed call from +919182800656 The last missed call was at 05:35 PM on 01-Dec-2024 Thankyou, Team Jio.",2024-12-01T18:11:55+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_69,sms,VM-AXISBK,(none),"INR 20.00 debited A/c no. XX4634 01-12-24, 18:16:32 UPI/P2M/006639911888/Jay Ambe Provision Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-12-01T18:16:36+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_70,sms,JE-JioBal,(none),"Missed call to 1299 provides only Plan & balance details. Balance for Jio Number 6304993823:  1) Rs899_90D_2GB/D_20GB Plan:  Data: 486.87 MB out of 2.00 GB/day SMS: 100 out of 100/day Plan expiry: 11 Dec 2024, 08:43 PM 2) MRP 19 Plan:  Data: 630.36 MB out of 1.00 GB Plan expiry: 11 Dec 2024, 08:43 PM  For more details, click https://www.jio.com/dl/dashboard_home  For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  http://tiny.jio.com/databalance",2024-12-01T19:12:58+00:00,promotion,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_71,sms,AD-AxisBk,(none),"INR 30.00 debited A/c no. XX4634 01-12-24, 21:00:20 UPI/P2M/413614733202/Jay Ambe Provision Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-12-01T21:00:21+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_72,sms,AX-AXISBK,(none),"INR 30.00 debited A/c no. XX4634 01-12-24, 21:00:35 UPI/P2M/778601563881/Jay Ambe Provision Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-12-01T21:00:36+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_73,sms,JA-JioBal,(none),"Missed call to 1299 provides only Plan & balance details. Balance for Jio Number 6304993823:  1) Rs899_90D_2GB/D_20GB Plan:  Data: 437.58 MB out of 2.00 GB/day SMS: 100 out of 100/day Plan expiry: 11 Dec 2024, 08:43 PM 2) MRP 19 Plan:  Data: 630.36 MB out of 1.00 GB Plan expiry: 11 Dec 2024, 08:43 PM  For more details, click https://www.jio.com/dl/dashboard_home  For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  http://tiny.jio.com/databalance",2024-12-01T21:39:23+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_74,sms,JA-JioPay,(none),"01-Dec-24 21:51 Hrs నాటికి 50% రోజువారీ డేటా కోటా ఉపయోగించబడింది. జియో నంబరు : 6304993823 ప్లాన్ ప్రకారం మొత్తం డేటా కోటా: 2 GB మై జియో యాప్ తో మీ అకౌంట్ ను మేనేజ్ చేయడానికి, మరింత తెలుసుకోవడానికి, https://www.youtube.com/watch?v=9vrk7PJWlOo క్లిక్ చేయండి. మీ ప్రస్తుత బ్యాలెన్స్, వ్యాలిడిటీ, ప్లాను వివరాలు మరియు ఉత్తేజకరమైన రీఛార్జ్ ప్లాన్ల కోసం 1991 డయల్ చేయండి",2024-12-01T21:51:27+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_75,sms,AX-AXISBK,(none),"INR 19.00 debited A/c no. XX4634 01-12-24, 21:58:35 UPI/P2M/424547394707/Jio Recharge Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-12-01T21:58:37+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_76,sms,JM-JIOCPN,(none),"Dear User,  You’ve earned ₹30,000 MPL Welcome Bonus (Code: MPLJIO30) on Jio Recharge. Click on https://t.jio/JIOCPN/AkEpDs to claim your coupon! T&C  Team JioCoupon",2024-12-01T21:58:37+00:00,promotion,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
