csv_row,xml_position,id,source,sender,subject,body,timestamp,timestamp_ms,category,priority_label,action_required,action_text
13,3160,sms_13,sms,VM-EKARTL-S,(none),"Ekart Update : Greenchef Pearl Special Com... with tracking ID FMPC5343634160 from flipkart.com will be delivered today before 11pm (call 02248887777, PIN 104). Share OTP 265817 only to accept order after checking that there are No Damages, Missing or Wrong items at the doorstep. Returns will not be accepted for these reasons once the order is delivered.",2025-10-15 09:32:12,1760500932070,,,,
14,3159,sms_14,sms,VK-EKARTL-S,(none),"Ekart Update : Greenchef Pearl Special Com... with tracking ID FMPC5343634160 from flipkart.com will be delivered today before 11pm (call 02248887777, PIN 104). Share OTP 265817 only to accept order after checking that there are No Damages, Missing or Wrong items at the doorstep. Returns will not be accepted for these reasons once the order is delivered.",2025-10-15 09:32:08,1760500928416,,,,
15,3158,sms_15,sms,919666781092,(none),"Dear Customer, You have a missed call from +919666781092 The last missed call was at 08:18 PM on 14-Oct-2025 Thankyou, Team Jio.",2025-10-14 20:19:06,1760453346595,,,,
16,3157,sms_16,sms,VM-BSELTD-S,(none),"UPSTOX SECURITIES at EOD 30/09/2025 reported your Fund bal Rs 0.800 & Securities bal 0. This excludes your Bank, DP and PMS bal with the broker-BSE",2025-10-14 18:27:38,1760446658096,,,,
17,3156,sms_17,sms,AD-AXISBK-S,(none),"INR 1200.00 credited A/c no. XX4634 14-10-25, 16:32:27 IST UPI/P2A/528778351285/ASAM YATH/AXIS BANK - Axis Bank",2025-10-14 16:32:46,1760439766244,,,,
18,3155,sms_18,sms,JK-SBIUPI-S,(none),Dear UPI user A/C X6996 debited by 49.0 on date 14Oct25 trf to DURISHETTY  SATH Refno 407527661917 If not u? call-1800111109 for other services-18001234-SBI,2025-10-14 13:58:16,1760430496201,,,,
19,3154,sms_19,sms,AX-AXISBK-S,(none),"INR 2260.00 credited A/c no. XX4634 14-10-25, 10:29:04 IST UPI/P2A/455598087595/KATKAM  S/State Ban - Axis Bank",2025-10-14 10:29:16,1760417956777,,,,
20,3153,sms_20,sms,AX-AXISBK-S,(none),"INR 2.00 credited A/c no. XX4634 13-10-25, 23:47:01 IST UPI/P2A/243347242865/Google Pa/AXIS BANK - Axis Bank",2025-10-13 23:47:15,1760379435864,,,,
21,3152,sms_21,sms,AX-AXISBK-S,(none),Your A/c has been debited towards Google for INR 2.00 on 13-10-25. 76ef4605f2c8479dab28b6663b557311@axl - Axis Bank,2025-10-13 23:46:21,1760379381349,,,,
22,3151,sms_22,sms,JD-AXISBK-S,(none),Your UPI ASPRESENTED mandate has been successfully created towards Google from 13-10-25 to 31-12-35 for INR 999.00 - Axis Bank,2025-10-13 23:46:15,1760379375084,,,,
23,3150,sms_23,sms,AX-AXISBK-S,(none),"INR 17700.00 debited A/c no. XX4634 13-10-25, 23:42:51 UPI/P2A/391409317011/VASAM  SIDDHARTHA Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2025-10-13 23:42:52,1760379172659,,,,
24,3149,sms_24,sms,JK-620040-P,(none),మీరు అపరిమిత 5G డేటాని కోల్పోతున్నారు!!  మీ 5G ఫోన్‌లో మీ ప్రస్తుత ప్లాన్ నిజమైన అపరిమిత 5G డేటాని అందించదు.  కేవలం Rs.51 యాడ్-ఆన్‌తో రీచార్జ్ చేయండి మరియు మీ మిగిలిన ప్లాన్ వ్యాలిడిటీ లోను వేగవంతమైన అపరిమిత 5G ని ఆస్వాదించండి..  త్వరపడండి ! ఇప్పుడే రీచార్జ్ చేయండి www.jio.com/r/B3fmLece0,2025-10-13 19:43:30,1760364810116,,,,
25,3148,sms_25,sms,JX-NSESMS-S,(none),"UPSTOX SECURITIES PRIVATE LIMI on 04-10-25 reported your Fund bal Rs.0.8 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",2025-10-13 19:11:53,1760362913826,,,,
26,3147,sms_26,sms,AX-AXISBK-S,(none),"INR 1000.00 credited A/c no. XX4634 13-10-25, 19:04:28 IST UPI/P2A/528644048113/Boggarapu/State Ban - Axis Bank",2025-10-13 19:04:44,1760362484380,,,,
27,3146,sms_27,sms,JM-JIOMRT-S,(none),You have a membership update from JioMart Quick! Click here: https://jm101.com/s/ZS19.html,2025-10-13 18:57:57,1760362077194,,,,
28,3145,sms_28,sms,AD-AXISBK-S,(none),"INR 5000.00 credited A/c no. XX4634 13-10-25, 15:19:09 IST UPI/P2A/607294909896/REPAKA VE/INDUSIND - Axis Bank",2025-10-13 15:19:17,1760348957535,,,,
29,3144,sms_29,sms,JM-JIOMRT-S,(none),You have a membership update from JioMart Quick! Click here: https://jm101.com/s/ZS19.html,2025-10-13 14:23:50,1760345630309,,,,
30,3143,sms_30,sms,AX-AXISBK-S,(none),"INR 5000.00 credited A/c no. XX4634 12-10-25, 21:57:34 IST UPI/P2A/765440074642/REPAKA VE/INDUSIND - Axis Bank",2025-10-12 21:57:43,1760286463896,,,,
